Company,Job,Type,Salary,Link
ACCEO PTE. LTD.,Software Engineer (Automation) – East,Permanent ...,"$2,500to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-%E2%80%93-east-acceo-9035b345d2db4b9a89475d83f3833e9d?source=MCF&event=Search
MERRY ELECTRONICS (SINGAPORE) PTE. LTD.,Software Engineer (Embedded Gaming),Permanent ...,"$4,500to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-merry-electronics-69d6e813c6dbd7a021d811c412b49155?source=MCF&event=Search
D'CRYPT PTE LTD,Hardware / Software Engineer (Product Testing),Permanent ...,"$5,000to$9,000",https://www.mycareersfuture.gov.sg/job/engineering/hardware-software-engineer-dcrypt-527c1eabd78387a4b8e2b9421bf7741c?source=MCF&event=Search
YAMAZAKI MAZAK SINGAPORE PTE LTD,Assistant Software Engineer,Permanent ...,"$2,300to$3,000",https://www.mycareersfuture.gov.sg/job/information-technology/assistant-software-engineer-yamazaki-mazak-singapore-40767fe8edd46dad2ed72b9919ead113?source=MCF&event=Search
HOPE TECHNIK PTE. LTD.,Software Engineer (Robotics / IoT),Permanent ...,"$5,200to$6,300",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-hope-technik-3a4704bd0a700b66af701f3101a61c66?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Senior Software Engineer | React | JavaScript,Permanent ...,"$5,000to$8,200",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-react-javascript-scientec-consulting-66374cdd9a4ee60d3e6a7f59fdfd503d?source=MCF&event=Search
SEARCH CUBE PTE. LTD.,Embedded Software Engineer,Permanent,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/embedded-software-engineer-search-cube-275c20cc18462edba1a371cff7d678d4?source=MCF&event=Search
ACCEO PTE. LTD.,Software Engineer (Software / Machine / East),Permanent ...,"$2,500to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-acceo-917bb56d698f75613a916485fb796aa5?source=MCF&event=Search
RIGHT RECRUIT PTE. LTD.,Principal Software Engineer (Staff Engineer),Permanent ...,"$6,000to$9,000",https://www.mycareersfuture.gov.sg/job/engineering/principal-software-engineer-right-recruit-5b473796feeb2d1fabc7ac768c37c096?source=MCF&event=Search
HPS PARTNERS PTE. LTD.,Senior Firmware / Software Engineer (Embedded System),Permanent ...,"$4,500to$7,000",https://www.mycareersfuture.gov.sg/job/sciences/senior-firmware-software-engineer-hps-partners-69d0a9b297ee42aceab7c39c22922364?source=MCF&event=Search
ANOTECH ENERGY SINGAPORE PTE. LTD.,Senior Software Engineer (Go / Angular),Permanent,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/consulting/senior-software-engineer-anotech-energy-singapore-432f833a024251488f6dae99d2c57c61?source=MCF&event=Search
ACTIVATE INTERACTIVE PTE LTD,Software QA Engineer (Performance Testing),Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-qa-engineer-activate-interactive-7bb6078f66daea93cba5557867cf830e?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,Java Software Engineer | Spring Boot,Permanent ...,"$5,000to$7,200",https://www.mycareersfuture.gov.sg/job/information-technology/java-software-engineer-spring-boot-scientec-consulting-bc3ce120b345c4ebc12791a71bb2b556?source=MCF&event=Search
LITE-ON SINGAPORE PTE. LTD.,Junior / Senior R&D Software Engineer (Renewable Energy),Permanent ...,"$3,200to$5,200",https://www.mycareersfuture.gov.sg/job/engineering/junior-senior-rd-software-engineer-lite-on-singapore-441d887470ae33af8d8659720fa8d90b?source=MCF&event=Search
MAESTRO HUMAN RESOURCE PTE. LTD.,Software Engineers (C# / C++) No Exp required (AMK area),Permanent ...,"$4,000to$5,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineers-exp-required-maestro-human-resource-ff38172b68b8611246e30b14359065a7?source=MCF&event=Search
LITE-ON SINGAPORE PTE. LTD.,Senior / Principal R&D Software Engineer (Renewable Energy),Permanent ...,"$5,200to$8,200",https://www.mycareersfuture.gov.sg/job/engineering/senior-principal-rd-software-engineer-lite-on-singapore-7842124229696f370567e445aba671b2?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer / Vision,Permanent ...,"$5,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-vision-talent-trader-group-310b611039b8a700fc754344b1853a8b?source=MCF&event=Search
STELLAR LINK PARTNERS PTE. LTD.,Fullstack Software Engineer (Java),Permanent ...,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-software-engineer-stellar-link-partners-d583d146ab6e5db6eee2f66cbecf8ca3?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Java Project Lead / Senior Java Software Engineer X5 Permanent Role / Good Bonus,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/java-project-lead-senior-java-software-engineer-x5-permanent-role-good-bonus-recruitflash-fde4ebe5ea4ae70a781a8762129815fa?source=MCF&event=Search
MERRY ELECTRONICS (SINGAPORE) PTE. LTD.,Software Engineer (Embedded Linux-Framework / Application),Permanent ...,"$5,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-merry-electronics-ebf3aca2a743bc484a4d02039b57b937?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Java Project Lead / Senior Java Software Engineer X2 Permanent Role / Good Bonus,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/java-project-lead-senior-java-software-engineer-x2-permanent-role-good-bonus-recruitflash-c3dace6db41214bbc8b0e3db8ad7987a?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,.NET Software Engineer (VB.NET),Permanent ...,"$4,000to$5,000",https://www.mycareersfuture.gov.sg/job/information-technology/net-software-engineer-talent-trader-group-5607febc4012c5585cf8f34cb7548815?source=MCF&event=Search
ADVANCED GREEN SOLUTIONS PTE. LTD.,Software Engineer,Permanent,"$2,600to$4,000",https://www.mycareersfuture.gov.sg/job/manufacturing/software-engineer-advanced-green-solutions-48c0fefdac7eae1eeb7b2536b3cf1082?source=MCF&event=Search
STAR CAREER CONSULTING PTE. LTD.,"Senior Software Engineer (C#, Python ) / Senior Application Engineer",Permanent ...,"$8,000to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-senior-application-engineer-star-career-consulting-64b88595ec3cb6cfd9db045f04937f19?source=MCF&event=Search
KAROOOOO MANAGEMENT COMPANY PTE. LTD.,Embedded Software Engineer (Fresh graduated are welcome),Permanent ...,"$3,500to$4,200",https://www.mycareersfuture.gov.sg/job/engineering/embedded-software-engineer-karooooo-management-company-75adebe15ce297ee4dc2e0123a5aeaae?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Java Project Lead / Senior Java Software Engineer X2 Permanent Role / Good Bonus,Permanent ...,"$6,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/java-project-lead-senior-java-software-engineer-x2-permanent-role-good-bonus-recruitflash-39fb0d5e9a2d1cf2e58b25c2a32ba7a7?source=MCF&event=Search
NEWBRIDGE ALLIANCE PTE. LTD.,Senior Software Engineer (.Net),Permanent ...,"$5,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-newbridge-alliance-76f24ce098f8e8c95e707f89fc4f0121?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Java Project Lead / Senior Java Software Engineer X2 Permanent Role / Good Bonus,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/java-project-lead-senior-java-software-engineer-x2-permanent-role-good-bonus-recruitflash-482118aa2c2af008143f92ea99f72fdd?source=MCF&event=Search
TALENTSIS PTE. LTD.,Software Engineers,Permanent ...,"$4,200to$5,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineers-talentsis-0a73f59310ac15cb1ab227175bf3f44c?source=MCF&event=Search
HNW CONSULTANCY PTE. LTD.,Software Engineer - Singapore (Hybrid),Permanent ...,"$5,800to$8,100",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-singapore-applied-value-technologies-4e0ac79b1617f7803a0b8aac4b0f1bfd?source=MCF&event=Search
COMBUILDER PTE LTD,Software Engineer (JavaScript / NodeJs),Permanent ...,"$4,300to$4,800",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-combuilder-340022760c8bbb3ed3dad72538c99fb3?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,MNC Senior Software Engineer / Senior Java Developer / Project Lead(X3 Permanent Role,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/mnc-senior-software-engineer-senior-java-developer-project-leadx3-permanent-role-recruitflash-ab2cfadd19555d6d875a4714df3e71c1?source=MCF&event=Search
AZTECH TECHNOLOGIES PTE. LTD.,Software Engineer (Artificial Intelligence),Permanent ...,"$3,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-aztech-technologies-64b9f56dada1fa8061d33ed854f85a1a?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Java Project Lead / Senior Java Software Engineer X5 Permanent Role / Good Bonus,Permanent ...,"$6,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/java-project-lead-senior-java-software-engineer-x5-permanent-role-good-bonus-recruitflash-0b3ff74ceb365fa056bc05dcd3410284?source=MCF&event=Search
MAESTRO HUMAN RESOURCE PTE. LTD.,Senior Software Engineer (IBM DB2 & Filenet) AMK,Permanent ...,"$5,000to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-amk-maestro-human-resource-2ac65bcff5d5fc23ad6fab322fbf41fd?source=MCF&event=Search
THE SUPREME HR ADVISORY PTE. LTD.,Software Engineer (Vision Software) - 9028,Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-9028-supreme-hr-advisory-d02d3d929cfdc3886e2d5f24a4e71187?source=MCF&event=Search
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,Quantum R&D Software Engineer,Permanent ...,"$5,500to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/quantum-rd-software-engineer-keysight-technologies-singapore-6779afce618f1cc40818ea4d69c00351?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Senior / Software Engineer (MNCs) Good Pay + Good Bonus,Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-good-pay-good-bonus-recruitflash-72e353a0e77bc4ea286d03691fc96292?source=MCF&event=Search
TRUST RECRUIT PTE. LTD.,Urgent!!! Senior Software / MES Engineer (Camstar MES / Mdd),Permanent ...,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/urgent-senior-software-mes-engineer-trust-recruit-ab442714306e5746f69493f9987c147d?source=MCF&event=Search
THE SUPREME HR ADVISORY PTE. LTD.,Software Engineer (Vision) - 9028,Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-9028-supreme-hr-advisory-cbc8ad6daecfeeca9364df9bf1bb0fff?source=MCF&event=Search
MAESTRO HUMAN RESOURCE PTE. LTD.,Infra and Software Engineer *No Exp required (AMK),Permanent ...,"$3,000to$3,600",https://www.mycareersfuture.gov.sg/job/information-technology/infra-software-engineer-no-exp-required-maestro-human-resource-a6a8a51aa8d6fe1954782913e0d2a679?source=MCF&event=Search
TRUST RECRUIT PTE. LTD.,Urgent !!! Senior Software / MES Engineer (Camstar MES),Permanent,"$8,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/urgent-senior-software-mes-engineer-trust-recruit-309a2b5fc7d571fb46e98b0fd3167ea6?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fb-industry-east-recruitpedia-9e2373b7485117ea581211e427bc3ee6?source=MCF&event=Search
THE SUPREME HR ADVISORY PTE. LTD.,Software Engineer | Full Stack Developer | Tai Seng - 4769,Permanent ...,"$4,000to$5,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-full-stack-developer-tai-seng-4769-supreme-hr-advisory-e8dda40d8715b107cb55c8213ad168c2?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fb-industry-east-recruitpedia-f2abff107a47460be76f7ece53eef6fa?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Senior Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-fb-industry-east-recruitpedia-ff829f22351030b97f24e6e0995fc84f?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Senior Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-fb-industry-east-recruitpedia-1e18e40cb522080f581bbf3ad79f08d4?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Senior Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-fb-industry-east-recruitpedia-77c6eabca9a2a66fff91bd95c5cb15d2?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Senior Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-fb-industry-east-recruitpedia-ee6328b09a71a7486c6dbb1a38665597?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Senior Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-fb-industry-east-recruitpedia-12f0330ec171c1c064bce44fa96ff067?source=MCF&event=Search
TALENTSIS PTE. LTD.,Software Engineers (Many Positions),Permanent ...,"$4,200to$5,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineers-talentsis-fac374d073d8dc1a80691e0b3bd84d11?source=MCF&event=Search
RECRUITPEDIA PTE. LTD.,Software Engineer (Ruby on Rails) / F&B IT industry / East,Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-fb-industry-east-recruitpedia-d764141447581b45e4a717dfd0857650?source=MCF&event=Search
THE SUPREME HR ADVISORY PTE. LTD.,Assistant Software / Software Engineers | PLC & SCADA Programing | Bukit Batok - 4769,Permanent ...,"$2,000to$3,000",https://www.mycareersfuture.gov.sg/job/engineering/assistant-software-software-engineers-plc-scada-programing-bukit-batok-4769-supreme-hr-advisory-ebcb1c9b434a9f577ea04cf265d1dcc7?source=MCF&event=Search
SECUREAGE TECHNOLOGY PTE. LTD.,Software Quality Assurance Engineer,Permanent ...,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-quality-assurance-engineer-secureage-technology-3f48cfb16634b6ff6f743a326b26ee4a?source=MCF&event=Search
MIT SEMICONDUCTOR PTE. LTD.,Software Design Manager,Permanent ...,"$5,500to$8,500",https://www.mycareersfuture.gov.sg/job/design/software-design-manager-mit-semiconductor-d66078d5d5c19ecf2c12cf255799c95b?source=MCF&event=Search
ENGGSOL PTE. LTD.,Software Manager,Permanent,"$6,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-manager-enggsol-fc20844f76d40f3fad29a29f6dcfb16c?source=MCF&event=Search
UPPER SPRING CONSULTING PTE. LTD.,Software Developer,Permanent,"$4,500to$6,400",https://www.mycareersfuture.gov.sg/job/engineering/software-developer-upper-spring-consulting-48c495d116cd5bc40e6924df335412e2?source=MCF&event=Search
SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Senior Software Engineer (Automation Control),Permanent,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-seagate-singapore-international-headquarters-5fc0220dd88a2b71c8690c186b26ba1c?source=MCF&event=Search
NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,Senior Software Engineer (Backend),Permanent,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-ntuc-enterprise-nexus-co-operative-ea597df0cfd9441fc2a4f452ec13cc34?source=MCF&event=Search
SEIKO WALL PTE. LTD.,Software Developer / Engineer,Permanent ...,"$3,000to$4,800",https://www.mycareersfuture.gov.sg/job/engineering/software-developer-engineer-seiko-wall-a21ca5096a39f95c39a279902950133f?source=MCF&event=Search
OAKTREE CONSULTING,Product Software Engineer(C / C++),Permanent ...,"$6,000to$7,500",https://www.mycareersfuture.gov.sg/job/engineering/product-software-engineer-oaktree-consulting-ddf9cac4b578bf3a4bfa13376a3b3ee1?source=MCF&event=Search
OAKTREE CONSULTING,Assistant Software Manager,Permanent ...,"$7,000to$8,700",https://www.mycareersfuture.gov.sg/job/engineering/assistant-software-manager-oaktree-consulting-02219394b7e21f23a1e148e9c993533e?source=MCF&event=Search
OAKTREE CONSULTING,Assistant Software Manager,Permanent ...,"$7,000to$8,700",https://www.mycareersfuture.gov.sg/job/engineering/assistant-software-manager-oaktree-consulting-53ef696e0b8a3e0286b03c023b9ad26e?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Software Engineer / Software Developer (.Net) Senior,Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-software-developer-senior-recruitflash-a22730f730a3dd3ece860b2f964df1a0?source=MCF&event=Search
MIT SEMICONDUCTOR PTE. LTD.,Senior Software Design Engineer,Permanent ...,"$4,800to$6,000",https://www.mycareersfuture.gov.sg/job/design/senior-software-design-engineer-mit-semiconductor-1f2bffac641138a7e6a12c03b5d0bd9c?source=MCF&event=Search
OAKTREE CONSULTING,Assistant Software Manager,Permanent ...,"$7,000to$8,700",https://www.mycareersfuture.gov.sg/job/engineering/assistant-software-manager-oaktree-consulting-b0187c8257187163f2570a5e88647985?source=MCF&event=Search
DEZIRE TECHNOLOGIES PTE. LTD.,Software Test Engineer,Permanent,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-test-engineer-dezire-technologies-25e54e29b05ad0f2ac27715293296f3a?source=MCF&event=Search
OLA PARTY PTE. LTD.,Devops Engineer,Permanent ...,"$6,500to$9,500",https://www.mycareersfuture.gov.sg/job/information-technology/devops-engineer-ola-party-6c89d51f1963cfaed0bdb10323e8dc05?source=MCF&event=Search
OAKTREE CONSULTING,Product Software Engineer(C / C++),Permanent ...,"$6,000to$7,500",https://www.mycareersfuture.gov.sg/job/engineering/product-software-engineer-oaktree-consulting-c66d118e33d7cce0c27649151089c507?source=MCF&event=Search
LEOCH BATTERY PTE. LTD.,Software Application Designer,Permanent ...,"$3,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-application-designer-leoch-battery-4b445e5ff8d1228a1cb054791a6babb9?source=MCF&event=Search
REALTEK SINGAPORE PRIVATE LIMITED,Software Engineer – IoT Development,Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-%E2%80%93-iot-development-realtek-singapore-feed57030a05c93c5f38724fe0b5050a?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Senior Software Developer - .NET / Senior Software Engineer,Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-developer-net-senior-software-engineer-recruitflash-c09709d5f78d77ca70a859e2934efde6?source=MCF&event=Search
PERSOLKELLY SINGAPORE PTE. LTD.,Cloud Software Engineer (PRIT),Permanent,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/cloud-software-engineer-persolkelly-singapore-dd8d959df0946c96af6a84975f6dbf05?source=MCF&event=Search
ELITEZ PTE. LTD.,Software Engineer (AGV) (Basic up to $6000 / 3 Months Bonuses / 5 Days / Office Working Hours / Benoi Road),Permanent,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-elitez-1726b514dee51a8da85cbf62fe513d45?source=MCF&event=Search
REALTEK SINGAPORE PRIVATE LIMITED,Software Engineer – IoT Development & Opensource,Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-%E2%80%93-iot-development-opensource-realtek-singapore-95cb99db102c5ce2a0902014b26ebd91?source=MCF&event=Search
OAKTREE CONSULTING,Product Software Engineer(C / C++),Permanent ...,"$6,000to$7,500",https://www.mycareersfuture.gov.sg/job/engineering/product-software-engineer-oaktree-consulting-ef85d098f0d3f80729d6137d99853bba?source=MCF&event=Search
ACCEO PTE. LTD.,"Junior Executive, Network Engineer (Software)",Permanent ...,"$3,000to$5,000",https://www.mycareersfuture.gov.sg/job/information-technology/junior-executive-network-engineer-acceo-ecc6a5c635faf5e50cfa351c0f49c0f9?source=MCF&event=Search
MIT SEMICONDUCTOR PTE. LTD.,Software Design Engineer,Permanent ...,"$3,500to$4,800",https://www.mycareersfuture.gov.sg/job/design/software-design-engineer-mit-semiconductor-6f4badf4f1bc0738ecd78e984f3ed326?source=MCF&event=Search
SCIENTEC CONSULTING PTE. LTD.,*Entry-Level* QA Engineer | Software,Permanent ...,"$3,000to$4,000",https://www.mycareersfuture.gov.sg/job/information-technology/entry-level-qa-engineer-software-scientec-consulting-0eb0d20646f15b73b8a4189d3b6deba5?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,DevOps Engineer,Permanent ...,"$4,500to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/devops-engineer-talent-trader-group-ccd822f3e50825262b5de19b2a2b5531?source=MCF&event=Search
AC P. COMPUTER TRAINING & CONSULTANCY PTE LTD,Software Engineer (System) - 08-11-2023,Permanent ...,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-08-11-2023-ac-p-computer-training-consultancy-951e1dff7110781961bcc13cbe0c298a?source=MCF&event=Search
BACHA COFFEE PTE. LTD.,Senior Application Engineer,Permanent ...,"$3,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-application-engineer-bacha-coffee-f8d94e5f1f75bc92c26e80ec26e85e6d?source=MCF&event=Search
SINGAPORE AIRLINES LIMITED,Information Technology - Senior / Lead Software Engineer (Microsoft full-stack developer & DevOps),Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/information-technology-senior-lead-software-engineer-singapore-airlines-4fa90960f8629219e5ecb359ad6c07f6?source=MCF&event=Search
TP-LINK CORPORATION PTE. LTD.,Database Engineer,Permanent ...,"$4,000to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/database-engineer-tp-link-corporation-16726010e8be6dd1189d708037b1b3dc?source=MCF&event=Search
TRUST RECRUIT PTE. LTD.,Urgent!! Software Engineer (VB / .NET) JS 27,Permanent,"$3,000to$4,500",https://www.mycareersfuture.gov.sg/job/information-technology/urgent-software-engineer-js-27-trust-recruit-8b62f1799b6895e7009a2cda2a40d889?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer (C# Semiconductor),Permanent ...,"$4,500to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talent-trader-group-5eda5950c1977af446e15c748ba651a2?source=MCF&event=Search
DESAY SV AUTOMOTIVE SINGAPORE PTE. LTD.,"Engineer, Perception",Permanent ...,"$5,000to$7,000",https://www.mycareersfuture.gov.sg/job/engineering/engineer-perception-desay-sv-automotive-singapore-c740554a923696f0d23a660e135cc371?source=MCF&event=Search
LEOCH BATTERY PTE. LTD.,Software Engineer (Embedded Operating System),Permanent ...,"$3,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-leoch-battery-bc37e098d29a3397e0b3fae8c980b098?source=MCF&event=Search
NODEFLAIR PTE. LTD.,Software Engineer (Mobile - React Native),Permanent ...,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-nodeflair-8acd44a310cf1064e546a5fe6c0bd6a1?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Senior Software Engineer / .Net Software Developer / Senior / Software Project Leader ( X 5 Role ),Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-net-software-developer-senior-software-project-leader-recruitflash-0c5288bbf729c18716f0f3befb1fa475?source=MCF&event=Search
RANDSTAD PTE. LIMITED,C# .net Software developer (API and microservices),Permanent,"$5,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/c-net-software-developer-randstad-bfe98bf946a9b7352fb81a940c6cb2e2?source=MCF&event=Search
ELITEZ PTE. LTD.,Software Engineer (AGV) (Basic up to $6000 / 3 Months Bonuses / 5 Days / Office Working Hours / Benoi Road),Permanent,"$4,000to$6,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-elitez-799b4814bdda3bba45919fa893a499a9?source=MCF&event=Search
UPPER SPRING CONSULTING PTE. LTD.,Senior Software Developer (Java),Permanent,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-developer-upper-spring-consulting-a1523edf1f9192acf469fd38e6854f62?source=MCF&event=Search
OAKTREE CONSULTING,Product Software Engineer(C / C++),Permanent ...,"$6,000to$7,500",https://www.mycareersfuture.gov.sg/job/engineering/product-software-engineer-oaktree-consulting-cae81925e4bb60b7284685eb31338585?source=MCF&event=Search
TP-LINK CORPORATION PTE. LTD.,Cloud Security Engineer,Permanent ...,"$4,000to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/cloud-security-engineer-tp-link-corporation-a2a52187cb4559defdcc4554b9e30174?source=MCF&event=Search
TALENT TRADER GROUP PTE. LTD.,Software Engineer (C# Semiconductor),Permanent ...,"$4,500to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talent-trader-group-dc6c2c9548f00119eed75c64b37e2a4c?source=MCF&event=Search
RECRUITFLASH PTE. LTD.,Senior Software Engineer / .Net Software Developer / Senior / Software Project Leader ( X 5 Role ),Permanent ...,"$5,000to$10,000",https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-net-software-developer-senior-software-project-leader-recruitflash-9a1404fe33a46258d6382d7be135a8bb?source=MCF&event=Search
REALTEK SINGAPORE PRIVATE LIMITED,Software Engineer – WiFi / Embedded System Development,Permanent ...,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-%E2%80%93-wifi-embedded-system-development-realtek-singapore-20fee4995af797b2474fd26cbc20337a?source=MCF&event=Search
OAKTREE CONSULTING,Assistant Software Manager,Permanent ...,"$7,000to$8,700",https://www.mycareersfuture.gov.sg/job/engineering/assistant-software-manager-oaktree-consulting-3059742eac9282a798b7d19d51c8a6f9?source=MCF&event=Search
SINGAPORE AIRLINES LIMITED,Information Technology - Senior / Software Engineer (Contact Centre Platforms),Permanent,"$4,500to$9,000",https://www.mycareersfuture.gov.sg/job/information-technology/information-technology-senior-software-engineer-singapore-airlines-6ae92755da8bb6d5f4dfb3b65129bc47?source=MCF&event=Search
UPPER SPRING CONSULTING PTE. LTD.,Support Engineer,Permanent,"$5,000to$6,500",https://www.mycareersfuture.gov.sg/job/engineering/support-engineer-upper-spring-consulting-bbfeede40d0f6d40eb792c102dc78612?source=MCF&event=Search
ANACLE SYSTEMS LIMITED,Cloud Engineer,Permanent,"$4,500to$7,500",https://www.mycareersfuture.gov.sg/job/engineering/cloud-engineer-anacle-systems-52e41f4b32ce0cb0c0adc32b8255dff1?source=MCF&event=Search
